Glottocode,LanguageName,Phoneme,affiliation
hame1242,HAMER,u,Afro-Asiatic
hame1242,HAMER,ʊˤ,Afro-Asiatic
hame1242,HAMER,w,Afro-Asiatic
hame1242,HAMER,z,Afro-Asiatic
amha1245,AMHARIC,a,Afro-Asiatic
amha1245,AMHARIC,b,Afro-Asiatic
amha1245,AMHARIC,d̪|d,Afro-Asiatic
amha1245,AMHARIC,d̠ʒ,Afro-Asiatic
amha1245,AMHARIC,e̞,Afro-Asiatic
amha1245,AMHARIC,ə,Afro-Asiatic
amha1245,AMHARIC,f,Afro-Asiatic
amha1245,AMHARIC,ɡ,Afro-Asiatic
amha1245,AMHARIC,ɡʷ,Afro-Asiatic
amha1245,AMHARIC,h,Afro-Asiatic
amha1245,AMHARIC,hʷ,Afro-Asiatic
amha1245,AMHARIC,i,Afro-Asiatic
amha1245,AMHARIC,ɨ,Afro-Asiatic
